Track_photon_ID	Energy_MeV	Wavelength_nm	Time_ns
40175	7.04544	175.978	21.987
40174	7.00783	176.922	22.2296
40173	6.76594	183.248	17.8148
40172	6.92416	179.06	22.2424
40171	6.91681	179.25	19.5114
40170	7.02652	176.452	22.5609
40169	6.83594	181.371	20.0966
40168	6.9525	178.33	18.2153
40167	6.90778	179.485	23.1008
40166	6.9367	178.736	23.6468
40165	6.88726	180.02	18.0047
40164	6.98053	177.614	21.7479
40163	6.94692	178.474	25.1063
40162	7.08162	175.079	22.7732
40161	7.32644	169.228	21.3419
40160	7.09083	174.851	19.7559
40159	7.36709	168.295	21.257
40158	6.92447	179.052	21.2396
40157	7.33612	169.005	24.7097
40156	7.06428	175.509	18.9935
40155	6.7041	184.938	17.9676
40154	6.88015	180.206	25.1942
40153	7.38444	167.899	19.7863
40152	7.05933	175.632	18.3371
40151	6.97147	177.845	20.7382
40150	6.9246	179.049	19.8646
40149	7.07799	175.169	20.8985
40148	6.90691	179.508	22.9528
40147	6.82885	181.559	18.8991
40146	7.06992	175.369	22.2132
40145	6.9296	178.92	24.1955
40144	6.96128	178.105	26.7364
40143	7.35876	168.485	20.4178
40142	6.92797	178.962	22.0017
40141	7.21638	171.809	20.6966
40140	6.94177	178.606	22.0567
40139	6.96468	178.018	21.4495
40138	7.38416	167.906	20.6287
40137	6.89369	179.852	22.8601
40136	7.08662	174.955	22.2412
40135	6.93807	178.701	19.9063
40134	7.33497	169.032	22.9671
40133	6.84523	181.125	21.595
40132	6.93548	178.768	19.9763
40131	7.36963	168.237	17.9186
40130	6.95639	178.231	22.0341
40129	6.82058	181.779	18.7892
40128	7.3248	169.266	22.4779
40127	6.95526	178.26	22.1389
40126	6.97298	177.807	21.2652
40125	7.33979	168.921	21.052
40124	6.93064	178.893	20.5153
40123	6.83621	181.364	20.4644
40122	6.91437	179.314	23.5016
40121	6.94784	178.45	23.3982
40120	6.96828	177.927	23.2568
40119	7.30605	169.701	18.9778
40118	6.81843	181.837	19.5333
40117	6.9373	178.721	19.2804
40116	7.34777	168.737	18.1733
40115	6.93627	178.748	24.8424
40114	6.93676	178.735	19.9843
40113	7.01196	176.818	22.3474
40112	6.92049	179.155	22.3916
40111	6.73744	184.023	24.4903
40110	6.98222	177.571	18.7499
40109	6.91464	179.307	19.6754
40108	6.95921	178.158	20.7831
40107	6.79805	182.382	18.7728
40106	6.86026	180.728	21.1818
40105	7.31335	169.531	21.0658
40104	7.35934	168.472	22.4637
40103	7.32413	169.282	22.7571
40102	6.92411	179.061	17.8789
40101	7.33078	169.128	20.302
40100	6.84305	181.183	18.7385
40099	7.07503	175.242	19.8449
